# radial position[m]	 axial position[m]	 current[A]
0.3	0.347	55.2413
0.3	-0.347	55.2413
0.3	0.346	57.8837
0.3	-0.346	57.8837
0.3	0.345	60.4247
0.3	-0.345	60.4247
0.3	0.344	62.8463
0.3	-0.344	62.8463
0.3	0.343	65.1298
0.3	-0.343	65.1298
0.3	0.342	67.2563
0.3	-0.342	67.2563
0.3	0.341	69.2063
0.3	-0.341	69.2063
0.3	0.34	70.9603
0.3	-0.34	70.9603
0.3	0.339	72.4985
0.3	-0.339	72.4985
0.3	0.338	73.8013
0.3	-0.338	73.8013
0.3	0.337	74.8491
0.3	-0.337	74.8491
0.3	0.336	75.6226
0.3	-0.336	75.6226
0.3	0.335	76.1033
0.3	-0.335	76.1033
0.3	0.334	76.2729
0.3	-0.334	76.2729
0.3	0.333	76.1142
0.3	-0.333	76.1142
0.3	0.332	75.6108
0.3	-0.332	75.6108
0.3	0.331	74.7476
0.3	-0.331	74.7476
0.3	0.33	73.5109
0.3	-0.33	73.5109
0.3	0.329	71.8884
0.3	-0.329	71.8884
0.3	0.328	69.8695
0.3	-0.328	69.8695
0.3	0.327	67.4457
0.3	-0.327	67.4457
0.3	0.326	64.6106
0.3	-0.326	64.6106
0.3	0.325	61.3598
0.3	-0.325	61.3598
0.3	0.324	57.6915
0.3	-0.324	57.6915
0.3	0.323	53.6068
0.3	-0.323	53.6068
0.3	0.322	49.109
0.3	-0.322	49.109
0.3	0.321	44.2047
0.3	-0.321	44.2047
0.3	0.32	38.9033
0.3	-0.32	38.9033
0.3	0.319	33.2174
0.3	-0.319	33.2174
0.3	0.318	27.1628
0.3	-0.318	27.1628
